0,1,2,3,4,5,6,7
"[467.853, 553.682]","[665.831, 502.145]","[618.593, 464.4]","[505.735, 407.667]","[388.827, 442.827]","[451.296, 501.246]","[467.853, 553.682]",
"[673.93, 508.309]","[623.789, 455.154]","[511.718, 404.405]","[647.656, 363.262]","[802.017, 397.454]","[863.271, 460.891]","[673.93, 508.309]",
"[0.0, 1546.951]","[575.31, 1468.601]","[1108.13, 1777.212]","[422.3, 1961.537]","[0.0, 2033.79]","[0.0, 1546.951]",,
"[1.327, 2071.92]","[466.817, 1973.504]","[1082.08, 1812.62]","[1216.847, 1769.429]","[1986.335, 2076.669]","[1831.189, 2155.242]","[0.0, 2160.0]","[1.327, 2071.92]"
"[3439.633, 711.553]","[3459.383, 836.559]","[3810.397, 1003.607]","[3840.0, 907.777]","[3439.633, 711.553]",,,
"[3441.14, 837.277]","[3508.018, 980.886]","[3592.599, 995.688]","[3776.564, 1103.529]","[3825.198, 1128.904]","[3840.0, 1021.961]","[3441.14, 837.277]",
"[1961.323, 303.087]","[2031.103, 341.149]","[2299.649, 328.462]","[2489.958, 322.118]","[2445.552, 279.827]","[1961.323, 303.087]",,
"[2045.261, 341.378]","[2324.38, 379.44]","[2434.336, 369.924]","[2544.292, 360.409]","[2502.001, 326.576]","[2045.261, 341.378]",,
"[218.812, 1087.705]","[166.421, 865.811]","[6.164, 952.103]","[0.0, 1214.061]","[218.812, 1087.705]",,,
"[1032.424, 415.859]","[1519.358, 314.157]","[912.231, 234.029]","[748.892, 360.385]","[1032.424, 415.859]",,,
"[3143.499, 1688.668]","[3559.55, 1186.325]","[3840.0, 1260.289]","[3833.836, 1694.831]","[3143.499, 1688.668]",,,
"[2708.956, 406.613]","[3254.447, 542.215]","[3291.428, 428.186]","[2887.705, 326.485]","[2708.956, 406.613]",,,
